,RS,RR_GAP,DLA_CPI,L_GDP_GAP,RES_RS_lag
0,-2.5448783184261563,4.665302188020274,-4.09670307960266,-4.916128263794446,1.0
1,-4.973902525723258,3.8856310594449672,-7.2101805064464255,-7.32062174060989,0.8000000000000002
2,-6.651875971796802,2.382730102732565,-8.859533585168217,-7.371402946803294,0.7400000000000002
3,-7.311344653783395,0.7506664209803686,-9.034606074529353,-5.738337445633734,0.6720000000000003
4,-7.014181862367506,-0.5818800799067994,-8.062011074763754,-3.285571462687317,0.6116000000000003
5,-6.0324053883360325,-1.391818247514096,-6.432301782460696,-0.81002674667858,0.5564800000000003
6,-4.720581176420043,-1.647112173315957,-4.640587140821932,1.1229825196045544,0.5063440000000003
7,-3.4086084045596823,-1.454231333100755,-3.073469003104084,2.2401310303634294,0.4607232000000004
8,-2.3330875202116195,-0.9908253799456634,-1.9543770714589273,2.5348850022609195,0.4192129600000004
9,-1.6109884284326224,-0.4430856850411682,-1.342262140265957,2.188777671592333,0.3814426880000004
10,-1.2486815967136808,0.039563493393249605,-1.1679027433914555,1.4735087179498803,0.34707544640000043
11,-1.173492140428809,0.36750911553205423,-1.2882450901069313,0.6620690956922812,0.31580462592000047
12,-1.273734312546897,0.5133095712865196,-1.5410012559608635,-0.03356768990690617,0.28735124537600043
13,-1.4355297645230929,0.4991488298535144,-1.787043883833416,-0.49203958664681346,0.2614614588928004
14,-1.5690011560778476,0.3767825244386839,-1.934678594376606,-0.6826481220163386,0.2379042916518404
15,-1.621100863673185,0.2068268038891714,-1.94578368051653,-0.6448054954705026,0.21646957921075238
16,-1.576207317679187,0.04230586916803425,-1.8279276675623553,-0.45779233880480896,0.19696609253378597
17,-1.4480605306548298,-0.08108903594946493,-1.61851318684722,-0.21063605713361222,0.17921983194810404
18,-1.2674946773892743,-0.14784841526111614,-1.3669714947053642,0.021082297823239005,0.16307247481186182
19,-1.070029096463231,-0.16004320318956433,-1.1196462621281575,0.18832431861357268,0.14837996304429987
20,-0.886179358256435,-0.1315175507732279,-0.9099858932736667,0.2716814153201501,0.1350112179166261
21,-0.7358636640897297,-0.0811681516310293,-0.7546618074832069,0.27678895382976143,0.12284697063773087
22,-0.6269317589517913,-0.027114811463424093,-0.6546955124587005,0.2254386502708634,0.11177869830184732
23,-0.5568982943441564,0.017183143563558656,-0.5998169474883671,0.14571527694840325,0.10170765570525095
24,-0.516512838539948,0.04457232054933968,-0.574081437907715,0.06369615381112115,0.09254399439438551
25,-0.4937963926180121,0.0539177392831392,-0.5610851590892875,-0.0018737418485468837,0.08420596108603351
26,-0.4774841073728783,0.04853430811734183,-0.547714131901151,-0.041623446113975726,0.07661916830826537
27,-0.4592707455625848,0.03408262931882988,-0.5260184154902199,-0.05484662098937454,0.06971593075521566
28,-0.43471082842923936,0.016570062569329636,-0.4933533748814145,-0.047037216370203694,0.06343466143499908
29,-0.40297625986161545,0.0008795490044004595,-0.4512808909985687,-0.026762991248538592,0.057719322223520844
30,-0.3658724975028568,-0.009999494929358421,-0.4038558088660157,-0.0027886207998240042,0.052518923922316586
31,-0.32656126302525096,-0.015076408802814634,-0.3558730025734982,0.017973289707275353,0.04778707136020536
32,-0.28836861546608394,-0.014978175156140111,-0.3114848542224362,0.03146867219284577,0.04348154948039595
33,-0.25392290535689255,-0.011316186301760733,-0.2733904403099437,0.03655346328840128,0.039563946720337306
34,-0.2247179831534823,-0.006021356595417832,-0.2426067190551317,0.03436814378872194,0.03599931232430944
35,-0.20107146260354405,-0.000808341658724232,-0.21869662655806435,0.027382934419112992,0.03275584453148128
36,-0.18236723344911962,0.003148508238364184,-0.2002631209448198,0.018430631779541407,0.029804606857615972
37,-0.16744045838819993,0.005318042186355121,-0.1855157416874837,0.009950690722035721,0.027119269939240912
38,-0.154973949773199,0.005737766261247321,-0.17275850057455497,0.003552282864099199,0.02467587663715433
39,-0.14381204920334817,0.00483265349394793,-0.16071171603444623,-0.0001011439852078716,0.022452628303647557
