Date,l_gdp_obs,dla_cpi_obs,rs_obs,dla_gdp_obs
1990-04-01,9.218695371558917,5.187394742083029,8.24,1.450479203859345
1990-07-01,9.219359576396343,5.904166233248276,8.16,0.26568193497027437
1990-10-01,9.21021036352545,4.565783983223071,7.74,-3.6596851483572834
1991-01-01,9.205518766696965,5.752721990408105,6.43,-1.8766387313938537
1991-04-01,9.213286029264752,3.5991714045632506,5.86,3.106905027114948
1991-07-01,9.218328382698365,4.318127790373083,5.64,2.016941373445036
1991-10-01,9.221804408084422,3.7148389217662725,4.82,1.3904101544227387
1992-01-01,9.233705274280915,3.4992127652170524,4.02,4.760346478597199
1992-04-01,9.244490559406099,3.466140785238281,3.77,4.31411405007367
1992-07-01,9.2543285488469,3.079444944684795,3.26,3.9351957763201995
1992-10-01,9.264695972713735,3.589786672384676,3.04,4.146969546734169
1993-01-01,9.266370927801109,3.4701585677076707,3.04,0.6699820349496122
1993-04-01,9.272168974599117,3.3533463341349545,3.0,2.3192187192030644
1993-07-01,9.276933031925315,2.365051530215112,3.06,1.905622930479467
1993-10-01,9.290444616217844,3.1318056205776656,2.99,5.4046337170113645
1994-01-01,9.300098805681444,2.591236461514157,3.21,3.8616757854398998
1994-04-01,9.313564607411434,2.743897503592052,3.94,5.38632069199636
1994-07-01,9.319392066842362,2.982446979024189,4.49,2.3309837723708426
1994-10-01,9.330777659764527,2.5380795815404866,5.17,4.554237168866138
1995-01-01,9.334326351757174,3.3584108249996802,5.81,1.4194767970586497
1995-04-01,9.337298960975394,3.2483327882392388,6.02,1.1890436872882049
1995-07-01,9.345771209512511,2.6465605503471323,5.8,3.3888994148469465
1995-10-01,9.35254281217331,2.791227494510906,5.72,2.708641064319295
1996-01-01,9.360000986530576,2.6914214935175096,5.36,2.983269742906458
1996-04-01,9.376541015639082,2.3511387224470326,5.24,6.616011643402686
1996-07-01,9.385477851640061,2.5783389933558,5.31,3.574734400391577
1996-10-01,9.39580697791421,2.5594325017955555,5.28,4.131650509659579
1997-01-01,9.40224090355046,2.3076551104445286,5.28,2.573570254499913
1997-04-01,9.418751938529878,2.530940909868562,5.52,6.6044139917671885
1997-07-01,9.431161227920747,1.7294543954580632,5.53,4.963715756347398
1997-10-01,9.439664782365474,2.27017896837296,5.51,3.401421777891045
1998-01-01,9.449648568598516,2.4109745159940132,5.52,3.9935144932165656
1998-04-01,9.45886312938978,2.243840125682439,5.5,3.6858243165056592
